Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
162	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.72255E+19	1	0.00	"5,855.59"	162
163	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.73537E+19	1	0.00	"5,872.94"	163
164	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.74546E+19	1	0.00	"5,890.40"	164
165	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.74905E+19	1	0.00	"5,907.89"	165
166	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.77878E+19	1	0.00	"5,925.67"	166
167	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.78072E+19	1	0.00	"5,943.48"	167
168	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.84049E+19	1	0.00	"5,961.89"	168
169	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.86351E+19	1	0.00	"5,980.52"	169
170	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.87594E+19	1	0.00	"5,999.28"	170
171	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.91562E+19	1	0.00	"6,018.44"	171
172	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.93737E+19	1	0.00	"6,037.81"	172
173	11504939	12/22/20 18:37	0	11504939	PayoutAdded	1.9404E+19	1	0.00	"6,057.22"	173
174	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.01843E+19	1	0.00	"6,077.40"	174
175	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.04974E+19	1	0.00	"6,097.90"	175
176	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.06743E+19	1	0.00	"6,118.57"	176
177	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.2059E+19	1	0.00	"6,140.63"	177
178	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.41754E+19	1	0.00	"6,164.81"	178
179	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.43028E+19	1	0.00	"6,189.11"	179
180	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.53748E+19	1	0.00	"6,214.48"	180
181	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.50402E+20	1	0.00	"6,564.89"	181
182	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.58026E+19	1	0.00	"6,590.69"	182
183	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.62235E+19	1	0.00	"6,616.91"	183
184	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.63146E+19	1	0.00	"6,643.23"	184
185	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.65977E+19	1	0.00	"6,669.82"	185
186	11504939	12/22/20 18:37	0	11504939	PayoutAdded	2.77427E+19	1	0.00	"6,697.57"	186
187	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.00251E+19	1	0.00	"6,727.59"	187
188	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.02572E+19	1	0.00	"6,757.85"	188
189	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.0459E+19	1	0.00	"6,788.31"	189
190	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.10299E+19	1	0.00	"6,819.34"	190
191	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.2274E+19	1	0.00	"6,851.61"	191
