blocknumber	compressedlog
11504939	PayoutAdded	 1029242620160930073325
11504939	PayoutAdded	 1045671288952039958530
11504939	PayoutAdded	 1108155622233299936851
11504939	PayoutAdded	 1159636432412250087509
11504939	PayoutAdded	 1175238929401210043579
11504939	PayoutAdded	 1221259526213729941446
11504939	PayoutAdded	 1292116422866819902992
11504939	PayoutAdded	 1334608646469170025739
11504939	PayoutAdded	 1342125161829719900197
11504939	PayoutAdded	 1371037209360820043002
11504939	PayoutAdded	 1431477327587839909028
11504939	PayoutAdded	 1437771578834280035152
11504939	PayoutAdded	 1564277861899890012864
11504939	PayoutAdded	 1628451703814329903252
11504939	PayoutAdded	 1672880437081819991362
11504939	PayoutAdded	 1772701075203279970082
11504939	PayoutAdded	 1812132749970269969708
11504939	PayoutAdded	 1939183780457389957518
11504939	PayoutAdded	 2155404084675949889060
11504939	PayoutAdded	 2348754566278350011998
11504939	PayoutAdded	 2602197591725730035250
11504939	PayoutAdded	 2681304275815679829975
11504939	PayoutAdded	 2719610446060049980587
11504939	PayoutAdded	 2729516289064660213625
11504939	PayoutAdded	 2751842539874320209491
11504939	PayoutAdded	 2974407922705309829325
11504939	PayoutAdded	 3087611343505150216515
11504939	PayoutAdded	 7616026144459990064206
11504939	PayoutAdded	 3273831739877340169186
11504939	PayoutAdded	 3471035914715359922411
11504939	PayoutAdded	 3476885988206689944490
11504939	PayoutAdded	 4013684521456750189827
11504939	PayoutAdded	 4162219139866069781419
11504939	PayoutAdded	 4175553461983709894411
11504939	PayoutAdded	 4224323656566360114084
11504939	PayoutAdded	 4330636480018880320130
11504939	PayoutAdded	 4430995948188249712984
11504939	PayoutAdded	 4437342254166240309132
11504939	PayoutAdded	 4496521213290930063521
11504939	PayoutAdded	 4935974508537559813703
11504939	PayoutAdded	 4994945494248259819869
11504939	PayoutAdded	 5003448109891989588504
11504939	PayoutAdded	 5306438573299489689816
11504939	PayoutAdded	 5353792646901560146943
11504939	PayoutAdded	 5355675866894360297010
11504939	PayoutAdded	 5488907623584410430339
11504939	PayoutAdded	 5956485319961499953933
11504939	PayoutAdded	 5989602885223290286376
11504939	PayoutAdded	 5997044616219580348115
11504939	PayoutAdded	 6634293675284309756534
11504939	PayoutAdded	 7715435676707689708564
11504939	PayoutAdded	 8651438870026440781657
11504939	PayoutAdded	 9735659336078570049721
11504939	PayoutAdded	 9771802615249680457054
11504939	PayoutAdded	 10393420224001300084637
11504939	PayoutAdded	 10770790950487700683879
11504939	PayoutAdded	 10865830988969599275151
11504939	PayoutAdded	 11111393325278000702382
11504939	PayoutAdded	 15678997476353000820381
11504939	PayoutAdded	 21417489538598500075750
11504939	PayoutAdded	 22948947617069399711908
11504956	Finalized
11505161	
11505487	Funded
11505508	PayoutClaimed	 7616026144459990064206
11505521	PayoutClaimed	 953273921525434047907
11505989	PayoutClaimed	 22948947617069399711908
11506033	PayoutClaimed	 393353052983508007400
11506166	PayoutClaimed	 462987396153114016
11506169	PayoutClaimed	 2681304275815679829975
11506231	PayoutClaimed	 126237047286353003983
